,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
0,ACE,11.0,i | 1 | 3,,3.92,0.0,93454200.0,365854.0,39890.0,31.3,3.24,0.37,0.02,0.13,8.8,10.74,27.38,1.22,22.62,,600.0,555.0,0.37,,60.72784190532017,3.8261549696641004,3.7602426206624493,3.562388140221482
1,APCO,44.0,i | 1 | 2 | 3,,6.35,-2.31,1026600.0,6567.0,3810.0,61.43,6.29,0.17,0.12,0.1,11.39,10.31,18.3,1.85,30.79,,730.0,613.0,-17.53,,60.37270438079042,5.739426693692988,4.941258769989176,4.124663899929213
2,APURE,48.0,i | 1 | 2 | 3,,6.2,9.73,138523700.0,869819.0,5941.0,19.25,3.05,0.07,0.10,0.32,14.56,16.5,11.46,1.80,26.92,,385.0,318.0,0.1,,85.34495578598,4.881783269421373,4.570340892008731,3.3205383352205837
3,ARIP,52.0,i | 1 | 2 | 3,,1.03,0.98,18361100.0,18393.0,480.0,135.53,2.29,0.2,,0.01,1.97,1.7,0.45,,28.67,,1027.0,1036.0,10.89,,65.28643904873795,0.9385645945714962,0.8343395692215081,0.611420383140396
5,BGC,87.0,i | 1 | 3,,11.5,-2.54,9710100.0,110476.0,7986.0,14.85,1.50,2.31,0.13,0.77,4.57,10.28,6.47,3.90,27.41,,440.0,579.0,7.33,,62.26932802702021,11.129131389983218,10.66251162750646,10.54113501574791
6,BIZ,92.0,i | 1 | 2 | 3,,9.6,-2.04,2671000.0,25625.0,3840.0,34.63,6.27,2.74,0.15,0.28,7.73,19.86,15.12,1.53,24.41,,492.0,625.0,8.41,,61.02068423100068,9.080045905203944,7.73659945603389,5.203903726066035
7,CBG,115.0,i | 1 | 2 | 3,,151.5,0.0,4514900.0,681010.0,151500.0,44.24,14.57,0.7,1.50,3.42,23.68,36.83,17.11,1.58,28.85,,449.0,445.0,1.45,,65.3656207186129,147.32918697382675,139.59201583861596,129.39158975626313
8,CKP,135.0,i | 1 | 2 | 3,,5.9,0.0,71950200.0,431845.0,47963.0,55.85,2.03,1.35,0.04,0.11,2.84,3.73,11.18,0.59,24.22,,922.0,936.0,0.78,,60.73023376852109,5.680751789757217,5.524243903438191,5.180964795638013
9,CMR,140.0,i | 1 | 2 | 3,,3.1,-5.49,4811100.0,15198.0,12472.0,68.69,3.56,1.48,0.05,0.05,3.2,5.2,10.89,1.59,15.09,,895.0,940.0,-6.1,,55.149986680539165,3.062738631903263,2.7516065841601365,2.188301581423639
11,CPW,154.0,i | 1 | 3,,3.78,3.28,15663200.0,58856.0,2268.0,33.28,3.15,0.76,0.08,0.11,8.19,9.69,2.41,2.19,31.55,,651.0,597.0,-1.13,,53.19238075773094,3.8061227929730883,3.769110480133349,2.9092933004810213
15,EPG,193.0,i | 1 | 2 | 3,,13.0,0.78,45757400.0,595634.0,36400.0,29.86,3.30,0.38,0.19,0.44,8.95,11.3,12.54,2.17,25.9,,578.0,541.0,-7.51,,64.92420397231355,12.226817453904173,11.670473208472513,8.796077286559745
17,FSMART,210.0,i | 1 | 2 | 3,,10.8,-2.7,3523600.0,37763.0,8640.0,18.12,6.47,2.01,0.30,0.6,16.59,38.17,14.47,5.41,34.77,,251.0,287.0,1.28,,55.94842206229084,10.899542432150769,10.103062932307754,8.347612161775452
18,GLOBAL,225.0,i | 1 | 2 | 3,,23.8,-1.24,9738600.0,231378.0,109520.0,47.5,5.83,1.11,0.19,0.5,8.44,13.37,11.01,0.73,32.11,,623.0,653.0,2.38,,64.47060732698105,23.199316363312644,22.426076121114168,20.05589767714311
19,GPSC,228.0,i | 1 | 2 | 3,,79.75,-0.62,21824900.0,1737063.0,224873.0,28.46,2.14,1.41,1.00,2.8,5.51,7.79,11.73,1.87,24.75,,663.0,680.0,0.83,,62.52860691451819,76.51334594678667,75.0304318486751,71.71358583949834
21,INOX,262.0,i | 1 | 3,,1.18,-3.28,33976200.0,39467.0,9199.0,46.17,1.01,0.22,,0.03,2.11,2.22,4.16,,15.31,,943.0,950.0,0.87,,50.826462619283,1.1990633790890206,1.1580866240810657,0.7922925774073193
23,LANNA,319.0,i | 1 | 2 | 3,,18.4,0.55,3943900.0,72541.0,9660.0,27.54,2.05,0.73,0.30,0.67,8.57,7.48,13.69,2.46,24.48,,665.0,537.0,1.76,,68.62341715781733,16.763905560416255,14.791583382787556,10.143043261692972
24,MSC,371.0,i | 1 | 3,,6.4,-0.78,1739800.0,11409.0,2304.0,14.73,1.18,0.66,0.30,0.43,5.41,8.02,2.88,4.65,30.98,,494.0,528.0,-4.98,,61.0378284897013,6.278501095935244,6.23749738449331,6.1488373842508315
25,MTC,372.0,i | 1 | 2 | 3,,63.25,-1.17,6956600.0,438791.0,134090.0,25.06,6.08,2.73,0.37,2.52,11.58,27.16,35.61,0.58,32.12,,355.0,440.0,0.54,,65.22640394270873,60.80167000199546,60.99187442968571,59.30544000302027
26,NDR,381.0,i | 1 | 2 | 3,,3.38,-3.98,12458000.0,42588.0,1141.0,19.53,1.40,0.44,0.05,0.17,7.33,7.87,5.43,1.33,23.09,,572.0,506.0,-0.22,,67.2391443130134,3.1570938858993576,2.9725560326938973,2.1509415518511283
29,RWI,493.0,i | 1 | 3,,2.04,-2.86,40685500.0,84860.0,1298.0,5.97,1.39,0.46,,0.34,25.18,26.81,57.91,,20.01,,64.0,28.0,-0.06,,67.6969559599436,1.862232833614738,1.75605375082667,1.5000933842457937
31,SAAM,498.0,i | 1 | 3,,6.6,-7.04,7641500.0,51053.0,1980.0,76.04,6.53,0.4,0.01,0.09,8.21,8.66,45.75,0.89,23.53,,794.0,711.0,2.82,,52.667521223721245,6.461296166355432,5.957695744961895,3.277941996970041
32,SAPPE,508.0,i | 1 | 2 | 3,,26.75,-3.6,1783300.0,48012.0,8188.0,21.28,2.85,0.28,1.02,1.26,13.6,14.44,11.01,3.66,24.83,,438.0,358.0,3.44,,51.52008379424898,26.690369605753634,26.205204755416176,23.63865436662794
35,SELIC,529.0,i | 1 | 2 | 3,,3.56,-4.81,3450300.0,12609.0,1531.0,15.8,2.78,2.1,0.06,0.23,8.99,19.23,8.31,1.28,30.69,,308.0,394.0,-0.06,,56.107062253773776,3.471795374016326,3.2508177531486098,2.3323453165112813
37,SIS,544.0,i | 1 | 2 | 3,,37.0,0.0,4651000.0,169031.0,12957.0,19.69,4.32,1.73,1.00,1.88,10.0,23.8,2.59,2.70,34.34,,317.0,422.0,0.64,,55.19993316757065,36.47690895085703,34.41433970237547,25.071910287077348
39,SONIC,565.0,i | 1 | 3,,5.0,0.0,45384900.0,230170.0,2750.0,31.51,4.00,0.59,0.06,0.16,12.17,13.36,6.94,1.10,31.66,,547.0,483.0,2.22,,66.4242905472797,4.735734437007721,4.305118022379562,2.7563505277420854
40,SPACK,568.0,i | 1 | 2 | 3,,3.52,-1.12,12914300.0,46517.0,1056.0,12.45,1.93,1.38,,0.28,8.46,16.88,6.01,,24.28,,267.0,348.0,0.05,,60.304959901659714,3.3095819617994153,3.161172967826298,2.819782839343148
42,SUN,596.0,i | 1 | 2 | 3,,6.9,-0.72,18964000.0,133764.0,4450.0,20.89,4.23,0.27,0.05,0.33,18.37,22.28,4.66,0.96,26.49,,348.0,309.0,-0.08,,52.16345680566796,6.9100425374999705,6.777692503491819,4.645774745575379
43,SVI,601.0,i | 1 | 2 | 3,,4.88,0.83,15463500.0,76477.0,10593.0,17.28,2.53,1.64,0.11,0.28,7.05,15.65,4.26,2.27,18.66,,365.0,475.0,21.39,,56.86288821896689,4.847184336367859,4.877285809034416,4.671165627915177
44,THANI,631.0,i | 1 | 2 | 3,,4.94,-0.8,14109600.0,70112.0,27975.0,15.35,2.48,3.48,0.17,0.32,6.71,19.41,41.36,3.41,30.84,,298.0,464.0,0.73,,54.51011979861595,4.914984091720396,4.700811495194527,4.164049635751825
45,TMI,654.0,i | 1 | 3,,1.25,-5.3,36430200.0,46530.0,839.0,43.57,4.31,1.3,,0.03,5.79,10.31,0.94,,33.65,,679.0,746.0,-0.64,,61.01766723445924,1.2406568976268475,1.2157772178113329,0.9581614993774392
46,TOA,665.0,i | 1 | 3,,34.0,1.49,2287300.0,76381.0,68986.0,30.25,5.67,0.45,0.26,1.12,16.41,20.09,14.84,1.58,25.02,,451.0,407.0,4.74,,58.90685367089797,33.545931408304796,33.69193103938472,34.44865499007845
47,TPLAS,676.0,i | 1 | 3,,5.0,-2.91,16328300.0,83010.0,1350.0,35.21,4.20,0.2,0.10,0.14,12.59,12.16,7.65,1.94,25.73,,598.0,496.0,1.61,,66.14803785084924,4.4270229742569445,3.545671789236034,2.2975705789952956
