,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
2,3K-BAT,2.0,i,,67.5,0.0,0.0,0.0,5292.0,198.86,2.50,0.81,0.25,0.34,-2.57,3.2,2.79,0.35,2.1,,999.0,,,,,,,
4,A,4.0,i | 1 | 2 | 3,,4.98,0.0,2500.0,12.0,4880.0,30.79,1.38,2.68,0.03,0.16,3.85,4.58,-3.81,0.60,25.86,,784.0,779.0,-0.12,,,,,
5,A5,5.0,i | 1 | 3,SPNC,1.5,0.0,0.0,0.0,1685.0,,3.41,1.74,,0.05,13.18,21.5,37.45,,20.6,,,,,,,,,
7,ABICO,7.0,i | 1 | 2 | 3,,5.15,-1.9,56100.0,286.0,1259.0,28.48,1.32,1.15,,0.18,3.92,4.75,1.52,0.08,27.66,,765.0,760.0,-0.27,,,,,
8,ABM,8.0,i | 1 | 3,,1.43,-4.03,1616000.0,2332.0,429.0,48.96,1.21,2.77,,0.03,2.74,2.93,1.95,,34.68,,936.0,927.0,-0.26,,,,,
11,ACE,11.0,i | 1 | 3,,3.92,0.0,93454200.0,365854.0,39890.0,31.3,3.24,0.37,0.02,0.13,8.8,10.74,27.38,1.22,22.62,,600.0,555.0,0.37,,,,,
12,ACG,12.0,i | 1 | 3,,2.62,0.0,586600.0,1550.0,1572.0,61.21,2.34,1.0,0.04,0.04,3.9,3.84,1.95,1.53,24.93,,928.0,896.0,-1.79,,,,,
16,AEC,16.0,i | 1 | 3,C,7.85,-1.26,3129900.0,24535.0,11274.0,,15.70,0.15,,0.0,-27.16,-44.61,-32.96,,25.59,,,,,,,,,
17,AEONTS,17.0,i | 1 | 2 | 3,,186.0,-1.33,1237400.0,231962.0,46500.0,10.79,2.56,4.57,2.65,17.23,8.51,26.36,22.99,2.39,30.86,,142.0,298.0,1.25,,,,,
18,AF,18.0,i | 1 | 2 | 3,,0.72,-1.37,88100.0,63.0,1152.0,23.99,2.18,3.18,,0.03,4.19,9.07,28.76,2.88,20.6,,586.0,709.0,,,,,,
24,AIE,24.0,i | 1 | 2 | 3,,1.33,-3.62,18802000.0,25246.0,6959.0,14.9,3.02,0.18,0.05,0.09,18.3,22.78,7.6,3.62,26.0,,264.0,230.0,-0.1,,,,,
25,AIRA,25.0,i | 1 | 2 | 3,,2.0,-0.99,87200.0,174.0,12630.0,343.88,3.45,1.28,0.01,0.01,2.08,1.01,12.22,0.64,25.61,,1060.0,1045.0,73.04,,,,,
31,ALL,31.0,i | 1 | 3,,3.14,1.95,22535100.0,69730.0,2109.0,37.01,0.91,2.66,,0.08,3.72,2.7,-28.05,1.35,27.52,,891.0,833.0,-12.74,,,,,
32,ALLA,32.0,i | 1 | 2 | 3,,1.92,-2.54,3189000.0,6133.0,1152.0,31.3,1.34,0.21,0.07,0.06,4.27,4.24,7.83,3.55,34.44,,798.0,766.0,21.22,,,,,
