,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
0,ACE,11.0,i | 1 | 3,,3.92,0.0,93454200.0,365854.0,39890.0,31.3,3.24,0.37,0.02,0.13,8.8,10.74,27.38,1.22,22.62,,600.0,555.0,0.37,,,,,
2,AEONTS,17.0,i | 1 | 2 | 3,,186.0,-1.33,1237400.0,231962.0,46500.0,10.79,2.56,4.57,2.65,17.23,8.51,26.36,22.99,2.39,30.86,,142.0,298.0,1.25,,,,,
3,AIE,24.0,i | 1 | 2 | 3,,1.33,-3.62,18802000.0,25246.0,6959.0,14.9,3.02,0.18,0.05,0.09,18.3,22.78,7.6,3.62,26.0,,264.0,230.0,-0.1,,,,,
5,ALLA,32.0,i | 1 | 2 | 3,,1.92,-2.54,3189000.0,6133.0,1152.0,31.3,1.34,0.21,0.07,0.06,4.27,4.24,7.83,3.55,34.44,,798.0,766.0,21.22,,,,,
8,APCO,44.0,i | 1 | 2 | 3,,6.35,-2.31,1026600.0,6567.0,3810.0,61.43,6.29,0.17,0.12,0.1,11.39,10.31,18.3,1.85,30.79,,730.0,613.0,-17.53,,,,,
9,APURE,48.0,i | 1 | 2 | 3,,6.2,9.73,138523700.0,869819.0,5941.0,19.25,3.05,0.07,0.10,0.32,14.56,16.5,11.46,1.80,26.92,,385.0,318.0,0.1,,,,,
11,ARIP,52.0,i | 1 | 2 | 3,,1.03,0.98,18361100.0,18393.0,480.0,135.53,2.29,0.2,,0.01,1.97,1.7,0.45,,28.67,,1027.0,1036.0,10.89,,,,,
13,ASW,63.0,i,,8.95,-1.1,1470400.0,13177.0,0.0,,-,,-,0.0,14.03,43.22,25.67,-,32.3,,,,,,,,,
14,AU,65.0,i | 1 | 2 | 3,,10.4,1.96,1785500.0,18306.0,8482.0,157.31,9.81,0.53,0.06,0.07,5.3,6.45,6.48,0.59,33.41,,889.0,871.0,21.62,,,,,
15,AUCT,66.0,i | 1 | 2 | 3,,9.85,-1.5,2028700.0,20051.0,5418.0,22.1,9.38,2.51,0.23,0.45,18.57,48.82,29.1,4.10,28.77,,288.0,322.0,2.28,,,,,
