,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
0,ACE,11.0,i | 1 | 3,,3.92,0.0,93454200.0,365854.0,39890.0,31.3,3.24,0.37,0.02,0.13,8.8,10.74,27.38,1.22,22.62,,600.0,555.0,0.37,,60.72784190532017,,,
4,APCO,44.0,i | 1 | 2 | 3,,6.35,-2.31,1026600.0,6567.0,3810.0,61.43,6.29,0.17,0.12,0.1,11.39,10.31,18.3,1.85,30.79,,730.0,613.0,-17.53,,60.372704380790424,,,
5,APURE,48.0,i | 1 | 2 | 3,,6.2,9.73,138523700.0,869819.0,5941.0,19.25,3.05,0.07,0.10,0.32,14.56,16.5,11.46,1.80,26.92,,385.0,318.0,0.1,,85.34495578598,,,
6,ARIP,52.0,i | 1 | 2 | 3,,1.03,0.98,18361100.0,18393.0,480.0,135.53,2.29,0.2,,0.01,1.97,1.7,0.45,,28.67,,1027.0,1036.0,10.89,,65.28643904873795,,,
11,BCPG,80.0,i | 1 | 2 | 3,,14.0,-0.71,11688100.0,163998.0,36992.0,19.87,1.56,1.28,0.17,0.7,5.57,9.59,48.83,2.06,24.61,,530.0,594.0,2.82,,49.62623520993229,,,
13,BGC,87.0,i | 1 | 3,,11.5,-2.54,9710100.0,110476.0,7986.0,14.85,1.50,2.31,0.13,0.77,4.57,10.28,6.47,3.90,27.41,,440.0,579.0,7.33,,62.26932802702021,,,
14,BIZ,92.0,i | 1 | 2 | 3,,9.6,-2.04,2671000.0,25625.0,3840.0,34.63,6.27,2.74,0.15,0.28,7.73,19.86,15.12,1.53,24.41,,492.0,625.0,8.41,,61.02068423100068,,,
18,CBG,115.0,i | 1 | 2 | 3,,151.5,0.0,4514900.0,681010.0,151500.0,44.24,14.57,0.7,1.50,3.42,23.68,36.83,17.11,1.58,28.85,,449.0,445.0,1.45,,65.3656207186129,,,
21,CKP,135.0,i | 1 | 2 | 3,,5.9,0.0,71950200.0,431845.0,47963.0,55.85,2.03,1.35,0.04,0.11,2.84,3.73,11.18,0.59,24.22,,922.0,936.0,0.78,,60.73023376852109,,,
22,CMR,140.0,i | 1 | 2 | 3,,3.1,-5.49,4811100.0,15198.0,12472.0,68.69,3.56,1.48,0.05,0.05,3.2,5.2,10.89,1.59,15.09,,895.0,940.0,-6.1,,55.149986680539165,,,
23,COTTO,145.0,i | 1 | 3,,2.68,-3.6,96219700.0,264176.0,15980.0,33.12,1.81,0.24,0.03,0.08,5.21,5.57,6.62,1.04,15.1,,780.0,739.0,0.04,,51.9349498235087,,,
24,CPW,154.0,i | 1 | 3,,3.78,3.28,15663200.0,58856.0,2268.0,33.28,3.15,0.76,0.08,0.11,8.19,9.69,2.41,2.19,31.55,,651.0,597.0,-1.13,,53.19238075773094,,,
27,DELTA,168.0,i | 1 | 2 | 3,,564.0,-0.35,727900.0,406627.0,703523.0,87.92,19.71,0.52,3.30,6.42,14.77,23.55,9.12,0.58,22.35,,566.0,566.0,6.0,,50.199807749077976,,,
32,DTAC,177.0,i | 1 | 2 | 3,,31.75,2.42,17459200.0,551269.0,75178.0,18.48,3.74,6.17,2.12,1.72,4.63,20.64,4.0,9.65,29.26,,329.0,627.0,-0.15,,61.64258464105114,,,
33,EE,187.0,i | 1 | 2 | 3,,1.04,-2.8,11939900.0,12466.0,2891.0,61.96,1.96,0.11,,0.02,2.94,3.24,1120.38,,32.11,,952.0,944.0,-3.28,,52.08125793497903,,,
35,EPG,193.0,i | 1 | 2 | 3,,13.0,0.78,45757400.0,595634.0,36400.0,29.86,3.30,0.38,0.19,0.44,8.95,11.3,12.54,2.17,25.9,,578.0,541.0,-7.51,,64.92420397231355,,,
38,FORTH,207.0,i | 1 | 3,,12.0,-6.25,4545400.0,55474.0,11520.0,20.39,7.59,4.33,0.20,0.59,12.04,42.81,11.71,2.50,33.35,,276.0,385.0,2.37,,52.30367066918252,,,
39,FSMART,210.0,i | 1 | 2 | 3,,10.8,-2.7,3523600.0,37763.0,8640.0,18.12,6.47,2.01,0.30,0.6,16.59,38.17,14.47,5.41,34.77,,251.0,287.0,1.28,,55.94842206229084,,,
41,GLOBAL,225.0,i | 1 | 2 | 3,,23.8,-1.24,9738600.0,231378.0,109520.0,47.5,5.83,1.11,0.19,0.5,8.44,13.37,11.01,0.73,32.11,,623.0,653.0,2.38,,64.47060732698105,,,
42,GPSC,228.0,i | 1 | 2 | 3,,79.75,-0.62,21824900.0,1737063.0,224873.0,28.46,2.14,1.41,1.00,2.8,5.51,7.79,11.73,1.87,24.75,,663.0,680.0,0.83,,62.52860691451819,,,
43,GULF,235.0,i | 1 | 2 | 3,,33.5,1.52,8514400.0,283547.0,393061.0,62.12,5.59,2.71,0.38,0.54,6.26,13.26,18.4,1.15,26.23,,661.0,770.0,5.07,,48.20988315338945,,,
47,INOX,262.0,i | 1 | 3,,1.18,-3.28,33976200.0,39467.0,9199.0,46.17,1.01,0.22,,0.03,2.11,2.22,4.16,,15.31,,943.0,950.0,0.87,,50.826462619283,,,
52,KUMWEL,311.0,i | 1 | 3,,3.94,-1.5,3385500.0,13249.0,1694.0,34.35,3.28,0.23,0.09,0.11,10.42,9.75,13.67,2.25,33.09,,653.0,545.0,0.35,,53.007345714652445,,,
55,LANNA,319.0,i | 1 | 2 | 3,,18.4,0.55,3943900.0,72541.0,9660.0,27.54,2.05,0.73,0.30,0.67,8.57,7.48,13.69,2.46,24.48,,665.0,537.0,1.76,,68.62341715781733,,,
60,MSC,371.0,i | 1 | 3,,6.4,-0.78,1739800.0,11409.0,2304.0,14.73,1.18,0.66,0.30,0.43,5.41,8.02,2.88,4.65,30.98,,494.0,528.0,-4.98,,61.0378284897013,,,
61,MTC,372.0,i | 1 | 2 | 3,,63.25,-1.17,6956600.0,438791.0,134090.0,25.06,6.08,2.73,0.37,2.52,11.58,27.16,35.61,0.58,32.12,,355.0,440.0,0.54,,65.22640394270873,,,
63,NDR,381.0,i | 1 | 2 | 3,,3.38,-3.98,12458000.0,42588.0,1141.0,19.53,1.40,0.44,0.05,0.17,7.33,7.87,5.43,1.33,23.09,,572.0,506.0,-0.22,,67.2391443130134,,,
65,NSL,399.0,i,,15.3,-1.29,3545300.0,54049.0,0.0,,-,,-,0.0,15.51,33.25,7.35,-,25.0,,,,,,60.03561771132423,,,
74,RBF,478.0,i | 1 | 3,,20.8,-2.8,12457100.0,262591.0,41600.0,93.12,10.00,0.19,0.15,0.22,11.19,10.93,8.96,0.70,27.62,,742.0,648.0,1.98,,51.13971124992638,,,
76,RWI,493.0,i | 1 | 3,,2.04,-2.86,40685500.0,84860.0,1298.0,5.97,1.39,0.46,,0.34,25.18,26.81,57.91,,20.01,,64.0,28.0,-0.06,,67.6969559599436,,,
78,SA,497.0,i | 1 | 3,,6.85,-0.72,3138400.0,21286.0,8122.0,14.54,2.20,2.45,0.20,0.47,6.28,12.23,6.75,2.65,25.99,,381.0,468.0,,,50.37173955897077,,,
79,SAAM,498.0,i | 1 | 3,,6.6,-7.04,7641500.0,51053.0,1980.0,76.04,6.53,0.4,0.01,0.09,8.21,8.66,45.75,0.89,23.53,,794.0,711.0,2.82,,52.667521223721245,,,
83,SAPPE,508.0,i | 1 | 2 | 3,,26.75,-3.6,1783300.0,48012.0,8188.0,21.28,2.85,0.28,1.02,1.26,13.6,14.44,11.01,3.66,24.83,,438.0,358.0,3.44,,51.52008379424898,,,
85,SCGP,518.0,i | 1 | 3,,64.0,-0.39,5839600.0,373367.0,274747.0,40.05,3.06,0.71,0.45,1.6,5.85,7.78,9.3,0.70,26.21,,736.0,728.0,,,62.88513175656089,,,
86,SECURE,528.0,i,,24.9,-5.14,3938400.0,96095.0,0.0,,-,,-,0.0,19.5,32.14,9.83,-,28.41,,,,,,50.27777353922526,,,
87,SELIC,529.0,i | 1 | 2 | 3,,3.56,-4.81,3450300.0,12609.0,1531.0,15.8,2.78,2.1,0.06,0.23,8.99,19.23,8.31,1.28,30.69,,308.0,394.0,-0.06,,56.107062253773776,,,
