,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
4,ACE,11.0,i | 1 | 3,,3.92,0.0,93454200.0,365854.0,39890.0,31.3,3.24,0.37,0.02,0.13,8.8,10.74,27.38,1.22,22.62,,600.0,555.0,0.37,,,,,
6,AEC,16.0,i | 1 | 3,C,7.85,-1.26,3129900.0,24535.0,11274.0,,15.70,0.15,,0.0,-27.16,-44.61,-32.96,,25.59,,,,,,,,,
8,AIE,24.0,i | 1 | 2 | 3,,1.33,-3.62,18802000.0,25246.0,6959.0,14.9,3.02,0.18,0.05,0.09,18.3,22.78,7.6,3.62,26.0,,264.0,230.0,-0.1,,,,,
10,ALL,31.0,i | 1 | 3,,3.14,1.95,22535100.0,69730.0,2109.0,37.01,0.91,2.66,,0.08,3.72,2.7,-28.05,1.35,27.52,,891.0,833.0,-12.74,,,,,
11,ALT,33.0,i | 1 | 3,,2.88,-4.0,13915000.0,40886.0,3261.0,69.84,1.81,0.75,,0.04,3.71,2.81,-14.56,3.00,29.63,,980.0,925.0,-0.27,,,,,
16,AOT,42.0,i | 1 | 2 | 3,,58.0,-2.93,43816900.0,2568932.0,828571.0,,6.82,0.62,0.19,0.0,-8.08,-10.14,-165.52,0.32,30.0,,,,,,,,,
17,APURE,48.0,i | 1 | 2 | 3,,6.2,9.73,138523700.0,869819.0,5941.0,19.25,3.05,0.07,0.10,0.32,14.56,16.5,11.46,1.80,26.92,,385.0,318.0,0.1,,,,,
18,ARIN,51.0,i | 1 | 3,,1.25,5.93,79905800.0,98999.0,750.0,,1.74,1.29,,0.0,-2.18,-9.15,-59.59,,29.72,,,,,,,,,
19,ARIP,52.0,i | 1 | 2 | 3,,1.03,0.98,18361100.0,18393.0,480.0,135.53,2.29,0.2,,0.01,1.97,1.7,0.45,,28.67,,1027.0,1036.0,10.89,,,,,
21,ASAP,55.0,i | 1 | 2 | 3,,2.6,-1.52,2146300.0,5754.0,1888.0,,1.48,8.15,,0.0,2.13,-8.64,-3.66,,18.44,,,,,,,,,
25,AUCT,66.0,i | 1 | 2 | 3,,9.85,-1.5,2028700.0,20051.0,5418.0,22.1,9.38,2.51,0.23,0.45,18.57,48.82,29.1,4.10,28.77,,288.0,322.0,2.28,,,,,
26,AWC,67.0,i | 1 | 3,,3.82,-4.5,121575400.0,470840.0,122240.0,,1.58,0.75,,0.0,-1.49,-3.42,-53.87,,24.97,,,,,,,,,
28,BAY,75.0,i | 1 | 3,,29.25,-1.68,1622100.0,47075.0,215156.0,9.56,0.73,8.07,0.35,3.06,2.05,7.95,23.82,1.18,23.12,,387.0,590.0,1.47,,,,,
29,BCPG,80.0,i | 1 | 2 | 3,,14.0,-0.71,11688100.0,163998.0,36992.0,19.87,1.56,1.28,0.17,0.7,5.57,9.59,48.83,2.06,24.61,,530.0,594.0,2.82,,,,,
31,BFIT,86.0,i | 1 | 2 | 3,,36.0,-2.04,837400.0,30236.0,19845.0,13.2,2.00,1.04,1.40,2.73,10.28,16.42,51.37,3.81,17.96,,294.0,319.0,0.17,,,,,
32,BGC,87.0,i | 1 | 3,,11.5,-2.54,9710100.0,110476.0,7986.0,14.85,1.50,2.31,0.13,0.77,4.57,10.28,6.47,3.90,27.41,,440.0,579.0,7.33,,,,,
33,BIZ,92.0,i | 1 | 2 | 3,,9.6,-2.04,2671000.0,25625.0,3840.0,34.63,6.27,2.74,0.15,0.28,7.73,19.86,15.12,1.53,24.41,,492.0,625.0,8.41,,,,,
34,BJC,93.0,i | 1 | 2 | 3,,33.25,-0.75,3571800.0,118878.0,133259.0,35.68,1.15,1.8,0.60,0.93,3.05,3.27,3.18,2.33,25.57,,867.0,855.0,2.72,,,,,
38,BPP,102.0,i | 1 | 2 | 3,,18.2,3.41,12255600.0,221831.0,55469.0,14.75,1.28,0.18,0.35,1.23,8.3,8.89,51.11,3.69,21.18,,474.0,395.0,-11.24,,,,,
43,CBG,115.0,i | 1 | 2 | 3,,151.5,0.0,4514900.0,681010.0,151500.0,44.24,14.57,0.7,1.50,3.42,23.68,36.83,17.11,1.58,28.85,,449.0,445.0,1.45,,,,,
44,CCET,116.0,i | 1 | 2 | 3,,3.18,-3.05,10791900.0,34721.0,15762.0,76.3,0.89,3.03,0.01,0.04,1.75,1.25,0.44,0.82,26.1,,1026.0,1029.0,-2.87,,,,,
50,CKP,135.0,i | 1 | 2 | 3,,5.9,0.0,71950200.0,431845.0,47963.0,55.85,2.03,1.35,0.04,0.11,2.84,3.73,11.18,0.59,24.22,,922.0,936.0,0.78,,,,,
51,CMR,140.0,i | 1 | 2 | 3,,3.1,-5.49,4811100.0,15198.0,12472.0,68.69,3.56,1.48,0.05,0.05,3.2,5.2,10.89,1.59,15.09,,895.0,940.0,-6.1,,,,,
53,COTTO,145.0,i | 1 | 3,,2.68,-3.6,96219700.0,264176.0,15980.0,33.12,1.81,0.24,0.03,0.08,5.21,5.57,6.62,1.04,15.1,,780.0,739.0,0.04,,,,,
60,DCON,166.0,i | 1 | 2 | 3,,0.5,-1.96,19513000.0,9763.0,2693.0,26.86,1.11,0.14,0.01,0.02,4.71,4.13,10.91,1.57,29.21,,773.0,712.0,-3.73,,,,,
61,DDD,167.0,i | 1 | 2 | 3,,17.6,-3.83,2883200.0,51342.0,5595.0,13.03,1.12,0.09,0.50,1.35,10.52,8.85,78.82,4.69,24.02,,444.0,305.0,-0.07,,,,,
62,DELTA,168.0,i | 1 | 2 | 3,,564.0,-0.35,727900.0,406627.0,703523.0,87.92,19.71,0.52,3.30,6.42,14.77,23.55,9.12,0.58,22.35,,566.0,566.0,6.0,,,,,
64,DMT,173.0,i | 1 | 3,,12.3,0.0,902700.0,11130.0,0.0,,-,,-,0.0,9.79,9.52,37.02,-,25.34,,,,,,,,,
65,DOHOME,175.0,i | 1 | 3,,25.75,-2.83,5503400.0,143148.0,62371.0,55.31,7.29,1.93,0.01,0.47,7.9,15.37,8.85,0.03,22.21,,612.0,689.0,345.69,,,,,
66,DTAC,177.0,i | 1 | 2 | 3,,31.75,2.42,17459200.0,551269.0,75178.0,18.48,3.74,6.17,2.12,1.72,4.63,20.64,4.0,9.65,29.26,,329.0,627.0,-0.15,,,,,
69,EPG,193.0,i | 1 | 2 | 3,,13.0,0.78,45757400.0,595634.0,36400.0,29.86,3.30,0.38,0.19,0.44,8.95,11.3,12.54,2.17,25.9,,578.0,541.0,-7.51,,,,,
79,GPSC,228.0,i | 1 | 2 | 3,,79.75,-0.62,21824900.0,1737063.0,224873.0,28.46,2.14,1.41,1.00,2.8,5.51,7.79,11.73,1.87,24.75,,663.0,680.0,0.83,,,,,
81,GTB,234.0,i | 1 | 2 | 3,,1.13,5.61,48662100.0,54083.0,1085.0,65.89,1.51,0.45,0.02,0.02,2.1,2.29,-1.57,1.87,24.75,,987.0,998.0,0.03,,,,,
82,GULF,235.0,i | 1 | 2 | 3,,33.5,1.52,8514400.0,283547.0,393061.0,62.12,5.59,2.71,0.38,0.54,6.26,13.26,18.4,1.15,26.23,,661.0,770.0,5.07,,,,,
87,ILM,257.0,i | 1 | 3,,13.7,-3.52,1870800.0,25869.0,6919.0,15.43,1.32,1.55,0.27,0.89,5.87,8.7,6.77,2.96,24.87,,492.0,506.0,-0.53,,,,,
88,IMH,258.0,i | 1 | 3,,8.3,3.11,8764300.0,70338.0,1785.0,,4.26,0.13,,0.0,-4.56,-5.45,-34.68,,25.99,,,,,,,,,
89,INOX,262.0,i | 1 | 3,,1.18,-3.28,33976200.0,39467.0,9199.0,46.17,1.01,0.22,,0.03,2.11,2.22,4.16,,15.31,,943.0,950.0,0.87,,,,,
92,J,274.0,i | 1 | 3,,2.8,-4.76,6257700.0,17857.0,2601.0,42.78,1.37,1.42,0.03,0.07,3.89,4.15,16.05,1.02,22.98,,867.0,845.0,-0.51,,,,,
98,KEX,299.0,i,,38.75,-1.27,2971900.0,115182.0,67425.0,50.5,6.06,0.78,0.22,0.77,9.96,12.22,7.18,0.56,26.82,,658.0,624.0,,,,,,
100,KSL,307.0,i | 1 | 2 | 3,,3.2,-5.88,15775300.0,51136.0,14113.0,20.08,0.73,1.27,,0.16,2.96,3.76,10.03,,27.81,,716.0,725.0,-1.76,,,,,
101,KTIS,310.0,i | 1 | 2 | 3,,6.3,-3.08,1091200.0,6919.0,24318.0,60.29,3.25,0.9,,0.1,3.48,5.52,-17.45,,20.73,,875.0,913.0,-0.9,,,,,
103,KWM,315.0,i | 1 | 3,,5.35,-1.83,1757200.0,9362.0,2247.0,35.43,5.75,0.31,0.07,0.15,14.93,17.16,16.23,1.32,26.85,,520.0,458.0,1.47,,,,,
105,LANNA,319.0,i | 1 | 2 | 3,,18.4,0.55,3943900.0,72541.0,9660.0,27.54,2.05,0.73,0.30,0.67,8.57,7.48,13.69,2.46,24.48,,665.0,537.0,1.76,,,,,
110,MAKRO,336.0,i | 1 | 3,,36.25,0.0,323300.0,11719.0,174000.0,26.3,7.24,2.31,0.60,1.38,12.27,28.64,3.09,2.76,6.92,,361.0,437.0,6.22,,,,,
115,MGT,355.0,i | 1 | 3,,3.5,-2.78,1484200.0,5255.0,1400.0,13.43,2.78,0.15,0.07,0.26,21.45,22.34,14.59,2.78,24.95,,241.0,186.0,0.4,,,,,
116,MONO,366.0,i | 1 | 2 | 3,,1.79,-2.19,3907600.0,7054.0,6213.0,,4.59,2.26,,0.0,-4.82,-17.26,2.33,,24.92,,,,,,,,,
121,NDR,381.0,i | 1 | 2 | 3,,3.38,-3.98,12458000.0,42588.0,1141.0,19.53,1.40,0.44,0.05,0.17,7.33,7.87,5.43,1.33,23.09,,572.0,506.0,-0.22,,,,,
129,NRF,397.0,i,,9.35,-6.5,40308100.0,385666.0,13184.0,110.47,5.05,0.3,,0.08,4.96,4.17,4.33,0.04,27.82,,951.0,881.0,,,,,,
130,NSL,399.0,i,,15.3,-1.29,3545300.0,54049.0,0.0,,-,,-,0.0,15.51,33.25,7.35,-,25.0,,,,,,,,,
134,OR,410.0,i,,28.5,-0.87,24421800.0,695939.0,342000.0,31.38,3.58,2.83,0.10,0.91,7.0,11.09,3.35,0.34,23.72,,596.0,621.0,,,,,,
135,PACO,415.0,i,,2.84,-1.39,2794500.0,7929.0,2840.0,36.91,3.34,1.19,,0.08,9.68,10.14,15.49,,25.92,,658.0,575.0,,,,,,
142,PRIME,454.0,i | 1 | 2 | 3,,1.91,-2.05,6725700.0,12897.0,8126.0,27.54,2.85,1.12,,0.07,6.61,11.07,82.35,,16.14,,569.0,607.0,-8.56,,,,,
143,PRINC,456.0,i | 1 | 2 | 3,,4.7,-2.08,4292300.0,20099.0,17900.0,,2.00,0.73,,0.0,-2.72,-6.6,-23.37,,11.86,,,,,,,,,
144,PROEN,459.0,i,,6.5,-1.52,1118000.0,7305.0,0.0,,-,,-,0.0,8.24,17.57,4.45,-,25.52,,,,,,,,,
145,PROS,460.0,i,,2.92,-2.67,2574000.0,7575.0,0.0,,-,,-,0.0,14.05,23.26,9.66,-,25.0,,,,,,,,,
147,PSH,462.0,i | 1 | 2 | 3,,12.8,-1.54,1146900.0,14685.0,28013.0,11.41,0.64,0.8,0.65,1.12,4.47,5.6,8.94,7.38,28.16,,506.0,505.0,-0.8,,,,,
150,RBF,478.0,i | 1 | 3,,20.8,-2.8,12457100.0,262591.0,41600.0,93.12,10.00,0.19,0.15,0.22,11.19,10.93,8.96,0.70,27.62,,742.0,648.0,1.98,,,,,
154,RWI,493.0,i | 1 | 3,,2.04,-2.86,40685500.0,84860.0,1298.0,5.97,1.39,0.46,,0.34,25.18,26.81,57.91,,20.01,,64.0,28.0,-0.06,,,,,
155,SA,497.0,i | 1 | 3,,6.85,-0.72,3138400.0,21286.0,8122.0,14.54,2.20,2.45,0.20,0.47,6.28,12.23,6.75,2.65,25.99,,381.0,468.0,,,,,,
156,SAAM,498.0,i | 1 | 3,,6.6,-7.04,7641500.0,51053.0,1980.0,76.04,6.53,0.4,0.01,0.09,8.21,8.66,45.75,0.89,23.53,,794.0,711.0,2.82,,,,,
157,SAK,501.0,i,,9.05,-1.63,4491000.0,40893.0,18969.0,32.86,4.10,0.95,0.11,0.28,10.24,11.69,29.94,1.17,25.02,,597.0,542.0,,,,,,
160,SAPPE,508.0,i | 1 | 2 | 3,,26.75,-3.6,1783300.0,48012.0,8188.0,21.28,2.85,0.28,1.02,1.26,13.6,14.44,11.01,3.66,24.83,,438.0,358.0,3.44,,,,,
163,SCCC,516.0,i | 1 | 2 | 3,,161.5,-1.82,227100.0,36741.0,48127.0,12.28,1.48,1.29,9.00,13.15,7.75,12.08,10.39,5.47,27.91,,340.0,364.0,3.2,,,,,
165,SCGP,518.0,i | 1 | 3,,64.0,-0.39,5839600.0,373367.0,274747.0,40.05,3.06,0.71,0.45,1.6,5.85,7.78,9.3,0.70,26.21,,736.0,728.0,,,,,,
166,SDC,523.0,i | 1 | 2 | 3,C,0.38,18.75,44212500.0,16625.0,4303.0,,12.67,9.58,,0.0,-1.9,-66.63,-65.72,,15.72,,,,,,,,,
168,SECURE,528.0,i,,24.9,-5.14,3938400.0,96095.0,0.0,,-,,-,0.0,19.5,32.14,9.83,-,28.41,,,,,,,,,
171,SGP,536.0,i | 1 | 2 | 3,,10.5,-2.78,2724600.0,28922.0,19298.0,6.63,1.36,2.29,0.40,1.58,9.81,22.81,7.76,4.63,16.47,,100.0,198.0,0.17,,,,,
173,SISB,545.0,i | 1 | 3,,9.45,-1.05,1003700.0,9530.0,8883.0,51.74,4.57,0.69,0.08,0.18,6.12,8.98,23.76,0.80,20.11,,745.0,756.0,1.21,,,,,
175,SMK,557.0,i | 1 | 2 | 3,,32.75,-2.24,220200.0,7256.0,6550.0,8.83,0.91,1.29,2.20,3.71,5.65,11.51,7.19,6.57,15.91,,283.0,391.0,-3.52,,,,,
176,SNNP,561.0,i,,10.4,13.04,423206200.0,4866112.0,0.0,,-,,-,0.0,8.9,60.3,15.52,-,28.5,,,,,,,,,
178,SO,563.0,i,,11.3,0.89,1335600.0,14926.0,4204.0,28.96,4.63,0.77,0.02,0.39,11.78,15.87,7.71,1.36,27.99,,485.0,468.0,,,,,,
179,SPACK,568.0,i | 1 | 2 | 3,,3.52,-1.12,12914300.0,46517.0,1056.0,12.45,1.93,1.38,,0.28,8.46,16.88,6.01,,24.28,,267.0,348.0,0.05,,,,,
183,STARK,587.0,i | 1 | 2 | 3,,4.12,-0.48,74148000.0,301876.0,49054.0,27.47,11.77,6.35,,0.15,11.74,54.18,9.46,,28.84,,336.0,458.0,0.1,,,,,
186,SUN,596.0,i | 1 | 2 | 3,,6.9,-0.72,18964000.0,133764.0,4450.0,20.89,4.23,0.27,0.05,0.33,18.37,22.28,4.66,0.96,26.49,,348.0,309.0,-0.08,,,,,
189,SVI,601.0,i | 1 | 2 | 3,,4.88,0.83,15463500.0,76477.0,10593.0,17.28,2.53,1.64,0.11,0.28,7.05,15.65,4.26,2.27,18.66,,365.0,475.0,21.39,,,,,
191,SYNEX,605.0,i | 1 | 2 | 3,,25.25,-1.94,1182700.0,30062.0,21396.0,30.77,5.82,1.56,0.40,0.82,9.21,19.86,2.14,2.10,20.3,,454.0,541.0,1.98,,,,,
195,TFG,623.0,i | 1 | 2 | 3,,4.54,-1.73,2568000.0,11734.0,25458.0,10.75,2.20,1.34,0.06,0.42,13.24,22.62,5.29,1.84,15.16,,167.0,179.0,-1.24,,,,,
203,TMT,656.0,i | 1 | 2 | 3,,9.95,-1.49,710800.0,7095.0,8664.0,10.34,2.40,1.78,0.50,0.96,13.27,26.29,8.27,4.95,21.83,,137.0,173.0,0.25,,,,,
206,TNP,662.0,i | 1 | 2 | 3,,5.15,-1.9,1616000.0,8383.0,4120.0,25.86,4.86,0.31,0.04,0.2,17.97,20.13,7.54,1.33,27.66,,418.0,364.0,0.89,,,,,
208,TOA,665.0,i | 1 | 3,,34.0,1.49,2287300.0,76381.0,68986.0,30.25,5.67,0.45,0.26,1.12,16.41,20.09,14.84,1.58,25.02,,451.0,407.0,4.74,,,,,
211,TPAC,670.0,i | 1 | 2 | 3,,19.3,2.66,280700.0,5327.0,6302.0,29.88,2.92,1.26,0.29,0.65,11.43,10.23,-1.45,1.55,20.43,,607.0,484.0,0.37,,,,,
213,TPIPP,675.0,i | 1 | 2 | 3,,4.34,0.0,3802000.0,16431.0,36456.0,7.93,1.22,0.51,0.15,0.55,12.17,15.84,38.93,6.22,28.47,,187.0,159.0,0.3,,,,,
214,TPLAS,676.0,i | 1 | 3,,5.0,-2.91,16328300.0,83010.0,1350.0,35.21,4.20,0.2,0.10,0.14,12.59,12.16,7.65,1.94,25.73,,598.0,496.0,1.61,,,,,
216,TQR,681.0,i,,15.4,-1.91,544500.0,8410.0,3542.0,45.84,8.56,1.1,0.01,0.34,16.76,16.34,27.61,0.09,25.06,,574.0,487.0,,,,,,
227,VCOM,731.0,i | 1 | 2 | 3,,5.9,-5.6,1057700.0,6333.0,1811.0,19.79,3.69,2.12,0.10,0.3,11.01,20.33,7.6,3.13,26.5,,350.0,402.0,1.06,,,,,
228,VGI,732.0,i | 1 | 2 | 3,,5.5,-2.65,22897900.0,126387.0,47361.0,48.34,2.85,0.25,0.04,0.11,5.85,6.67,27.95,1.08,24.7,,811.0,759.0,24.66,,,,,
229,VIH,734.0,i | 1 | 2 | 3,,12.9,-3.73,3461900.0,44662.0,7362.0,36.34,5.04,0.65,0.13,0.35,11.58,14.45,9.77,0.93,29.03,,559.0,526.0,2.27,,,,,
230,VNG,736.0,i | 1 | 2 | 3,,7.45,-3.87,2847900.0,21417.0,12928.0,,2.03,2.02,,0.0,-0.06,-4.5,4.12,,22.19,,,,,,,,,
231,VNT,737.0,i | 1 | 3,,37.5,0.0,803500.0,30146.0,44445.0,15.98,1.87,0.18,0.90,2.35,12.34,12.01,22.95,2.40,16.24,,414.0,311.0,0.37,,,,,
